Date,Result,Defender_Sum,Forward_Sum,Goalkeeper_Sum,Midfielder_Sum,Win
2017-08-20,W,40.00563046192259,35.75696202531646,16.8,32.55515880709358,1
2017-09-13,W,46.9,39.60516431924883,20.0,33.835,1
2017-09-17,W,47.9561797752809,54.4060214626391,10.54,24.839999999999996,1
2017-09-20,L,27.470422535211267,13.7,16.52,56.68174034638452,0
2017-09-23,W,22.4,20.30111111111111,14.74,41.11674797718567,1
2017-09-26,W,44.9,42.55825396825397,12.86,43.849450686641696,1
2017-10-01,W,43.4,25.7,13.919999999999998,57.8285143640812,1
2017-10-14,W,49.13943661971831,36.8875,15.0,44.80366197183099,1
2017-10-22,W,34.4,35.7,18.0,51.31142857142857,1
2017-10-29,L,57.09230769230769,11.2,11.86,26.659999999999997,0
2017-11-01,L,39.9,34.845,14.4,32.7525,0
2017-11-05,W,38.9,29.718581081081084,16.840000000000003,61.72354180537178,1
2017-11-21,W,28.9,55.65238095238095,17.34,43.43167464114832,1
2017-11-25,W,45.4,38.24545454545455,12.7,42.948114754098356,1
2017-12-06,W,33.27354354354354,57.104171907756815,19.16,65.36260906276387,1
2017-12-09,W,46.9,34.5,16.66,71.90479262672811,1
2017-12-23,L,27.2721146953405,22.964026090868195,15.84,32.97254344782144,0
2018-01-13,L,42.4,24.541614906832297,17.0,54.809192546583844,0
2018-01-21,W,26.9,58.97190476190476,20.0,44.96000000000001,1
2018-01-27,W,39.400000000000006,34.26294881588999,15.3,35.91448275862069,1
2018-02-10,W,36.4,36.2,15.38,62.33504608294931,1
2018-02-14,W,45.9,25.386567164179105,18.0,46.69076923076923,1
2018-02-18,W,35.777049180327865,48.76818181818182,11.54,37.76,1
2018-02-21,W,47.4,28.6,14.82,31.787602172331724,1
2018-02-24,W,34.9,46.2,19.340000000000003,54.03897583429229,1
2018-02-27,L,43.9,9.889166666666666,14.7,23.814081996434936,0
2018-03-03,W,24.4,31.469230769230773,18.26,41.47538461538461,1
2018-03-06,W,50.400000000000006,38.1,9.0,72.41936507936508,1
2018-03-10,W,54.18571428571428,25.722222222222225,12.12,28.776349206349202,1
2018-03-18,W,28.4,85.69092915214867,17.4,52.08474120082816,1
2018-03-31,W,31.206451612903226,21.700000000000003,11.880000000000004,51.12215941209723,1
2018-04-03,W,37.4,43.780277777777776,14.66,42.538798798798794,1
2018-04-11,L,37.4,30.750000000000004,12.28,35.88351351351351,0
