Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int,Match URL,Season, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,3-Jan,PPA,CrsPA,PrgP,SCA SCA,SCA GCA, 1/3
10/14/17,La Liga,Getafe,Isco,22,es ESP,RM,25-176,19,0,1,0,0,0,0,0,0,0,https://fbref.com/en/matches/a7bd3118/Getafe-Real-Madrid-October-14-2017-La-Liga,17_18,21,0,0,0,0,0.3,1,1,19,21,90.5,3,19,2,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,19,21,90.5,260,89,12,12,100,6,6,100,1,3,33.3,1,0.3,0.1,1,2,1,0,3,,,
10/14/17,La Liga,Getafe,Marcelo,12,br BRA,LB,29-155,71,0,0,0,0,4,1,0,0,1,https://fbref.com/en/matches/a7bd3118/Getafe-Real-Madrid-October-14-2017-La-Liga,17_18,81,2,4,0.1,0.1,0,2,0,47,63,74.6,5,47,0,4,2,2,2,2,0,0,2,3,66.7,1,4,0,4,1,3,1,0,47,63,74.6,858,388,22,26,84.6,17,20,85,7,14,50,0,0,0.1,0,5,1,1,5,,,
10/14/17,La Liga,Getafe,Theo Hernández,15,fr FRA,LB,20-008,19,0,0,0,0,0,0,1,0,0,https://fbref.com/en/matches/a7bd3118/Getafe-Real-Madrid-October-14-2017-La-Liga,17_18,21,0,0,0,0,0,0,0,16,19,84.2,1,16,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16,19,84.2,158,63,15,15,100,1,4,25,0,0,,0,0,0,0,3,0,0,1,,,
10/14/17,La Liga,Getafe,Sergio Ramos,4,es ESP,CB,31-198,90,0,0,0,0,1,0,0,0,3,https://fbref.com/en/matches/a7bd3118/Getafe-Real-Madrid-October-14-2017-La-Liga,17_18,80,1,0,0.1,0.1,0,1,0,58,69,84.1,7,44,2,0,0,1,0,0,1,0,1,1,100,0,0,0,0,3,4,6,0,58,69,84.1,1261,583,16,21,76.2,30,33,90.9,11,13,84.6,0,0,0,0,5,0,0,7,,,
10/14/17,La Liga,Getafe,Nacho,6,es ESP,CB,27-269,90,0,0,0,0,0,0,1,0,1,https://fbref.com/en/matches/a7bd3118/Getafe-Real-Madrid-October-14-2017-La-Liga,17_18,66,2,0,0,0,0,1,0,52,58,89.7,2,36,0,0,0,2,2,1,1,0,2,2,100,0,0,0,0,1,3,6,0,52,58,89.7,1034,296,20,23,87,25,26,96.2,7,9,77.8,0,0,0,0,1,0,0,2,,,
10/14/17,La Liga,Getafe,Achraf Hakimi,19,ma MAR,RB,18-344,90,0,0,0,0,0,0,0,0,3,https://fbref.com/en/matches/a7bd3118/Getafe-Real-Madrid-October-14-2017-La-Liga,17_18,65,4,1,0,0,0,2,0,43,56,76.8,4,40,2,2,2,4,4,1,1,2,2,3,66.7,1,1,0,1,3,7,3,0,43,56,76.8,524,158,33,37,89.2,9,16,56.3,1,1,100,0,0,0,1,2,0,0,4,,,
10/14/17,La Liga,Getafe,Kiko Casilla,13,es ESP,GK,31-012,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/a7bd3118/Getafe-Real-Madrid-October-14-2017-La-Liga,17_18,25,0,0,0,0,0,0,0,18,24,75,0,12,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,18,24,75,589,419,0,0,,10,10,100,8,14,57.1,0,0,0,0,0,0,0,0,,,
10/17/17,Champions League,Tottenham Hotspur,Cristiano Ronaldo,7,pt POR,FW,32-254,90,1,0,1,1,7,2,1,0,0,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,17_18,37,0,0,1.3,0.5,0.1,5,0,18,24,75,4,24,5,4,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,18,24,75,260,126,11,12,91.7,6,8,75,1,1,100,0,0.1,0,1,0,2,0,4,,,
10/17/17,Champions League,Tottenham Hotspur,Karim Benzema,9,fr FRA,FW,29-302,75,0,0,0,0,3,1,0,0,0,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,17_18,34,0,0,1.2,1.2,0.1,3,1,22,25,88,1,16,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,22,25,88,300,49,13,15,86.7,4,4,100,2,2,100,0,0.1,0.2,2,0,1,0,1,,,
10/17/17,Champions League,Tottenham Hotspur,Marco Asensio,20,es ESP,"FW,LW",21-269,15,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,17_18,12,0,0,0,0,0,0,0,10,12,83.3,2,12,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,12,83.3,122,21,5,5,100,2,2,100,1,3,33.3,0,0,0,0,2,0,0,2,,,
10/17/17,Champions League,Tottenham Hotspur,Isco,22,es ESP,AM,25-179,86,0,0,0,0,5,3,0,0,0,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,17_18,98,2,0,0.2,0.2,0.1,5,0,74,88,84.1,8,84,11,4,2,2,2,1,1,0,0,2,0,2,0,0,0,0,2,0,0,74,88,84.1,1098,150,41,41,100,21,27,77.8,7,13,53.8,0,0.1,0.1,1,9,2,0,8,,,
10/17/17,Champions League,Tottenham Hotspur,Lucas Vázquez,17,es ESP,"AM,RW",26-108,4,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,17_18,3,0,0,0,0,0,1,0,2,3,66.7,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,3,66.7,9,0,0,0,,0,0,,0,1,0,0,0,0,0,0,0,0,0,,,
10/17/17,Champions League,Tottenham Hotspur,Toni Kroos,8,de GER,LM,27-286,90,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,17_18,95,0,0,0,0,0.2,6,1,89,94,94.7,15,70,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,89,94,94.7,1475,454,50,50,100,25,26,96.2,11,15,73.3,0,0.2,0.5,4,13,4,1,15,,,
10/17/17,Champions League,Tottenham Hotspur,Casemiro,14,br BRA,CM,25-236,90,0,0,0,0,0,0,0,0,6,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,17_18,65,3,1,0,0,0.6,6,0,46,54,85.2,11,36,2,3,3,3,2,1,2,0,0,0,,0,1,0,1,6,9,2,0,46,54,85.2,941,285,16,19,84.2,20,21,95.2,8,10,80,0,0.6,0.6,4,5,0,0,11,,,
10/17/17,Champions League,Tottenham Hotspur,Luka Modrić,10,hr CRO,RM,32-038,90,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,17_18,90,3,0,0.1,0.1,0.4,3,0,66,78,84.6,13,67,3,2,0,3,3,1,2,0,1,1,100,0,0,0,0,1,4,1,0,66,78,84.6,1142,293,36,37,97.3,18,21,85.7,11,13,84.6,0,0.4,0.5,1,11,3,0,13,,,
10/17/17,Champions League,Tottenham Hotspur,Marcelo,12,br BRA,LB,29-158,90,0,0,0,0,2,1,0,0,1,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,17_18,91,0,1,0.1,0.1,0.1,6,0,70,85,82.4,7,57,2,3,1,0,0,0,0,0,0,2,0,2,1,0,1,1,1,1,0,70,85,82.4,885,211,43,46,93.5,15,19,78.9,3,8,37.5,0,0.1,0.1,2,4,3,2,7,,,
10/17/17,Champions League,Tottenham Hotspur,Sergio Ramos,4,es ESP,CB,31-201,90,0,0,0,0,1,0,0,0,3,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,17_18,76,1,2,0,0,0,1,0,61,66,92.4,3,45,0,1,0,1,0,1,0,0,0,3,0,3,2,1,1,3,4,3,0,61,66,92.4,1210,524,21,21,100,28,33,84.8,10,10,100,0,0,0,0,5,0,0,3,,,
10/17/17,Champions League,Tottenham Hotspur,Raphaël Varane,5,fr FRA,CB,24-175,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,17_18,74,1,4,0,0,0,0,0,48,53,90.6,7,42,2,0,0,1,1,1,0,0,1,3,33.3,2,4,2,2,1,2,9,0,48,53,90.6,994,353,14,16,87.5,28,29,96.6,6,8,75,0,0,0,0,5,0,0,7,,,
10/17/17,Champions League,Tottenham Hotspur,Achraf Hakimi,19,ma MAR,RB,18-347,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,17_18,89,2,1,0,0,0.1,4,0,65,80,81.3,3,60,2,4,0,2,2,0,1,1,2,2,100,0,1,0,1,0,2,1,0,65,80,81.3,805,260,50,51,98,12,16,75,2,8,25,0,0.1,0.2,1,0,2,0,3,,,
10/17/17,Champions League,Tottenham Hotspur,Keylor Navas,1,cr CRC,GK,30-306,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/971e1bcb/Real-Madrid-Tottenham-Hotspur-October-17-2017-Champions-League,17_18,25,0,0,0,0,0,0,0,16,20,80,0,10,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,16,20,80,505,351,1,1,100,10,10,100,5,9,55.6,0,0,0,0,0,0,0,0,,,
10/22/17,La Liga,Eibar,Cristiano Ronaldo,7,pt POR,FW,32-259,90,0,0,0,0,5,2,0,0,0,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,37,0,0,0.6,0.6,0.1,3,0,20,27,74.1,3,27,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,20,27,74.1,279,98,13,15,86.7,3,6,50,2,2,100,0,0.1,0,1,0,1,0,3,,,
10/22/17,La Liga,Eibar,Marco Asensio,20,es ESP,FW,21-274,63,1,0,0,0,2,2,0,0,0,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,41,0,2,0.1,0.1,0.5,2,0,24,33,72.7,5,26,1,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,24,33,72.7,376,102,14,18,77.8,8,11,72.7,2,3,66.7,0,0.5,0.1,2,2,1,0,5,,,
10/22/17,La Liga,Eibar,Karim Benzema,9,fr FRA,FW,29-307,27,0,1,0,0,2,0,0,0,0,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,15,1,1,0.1,0.1,0.1,1,1,9,12,75,4,14,1,0,0,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,9,12,75,142,60,4,5,80,5,5,100,0,0,,1,0.1,0.1,1,2,1,0,4,,,
10/22/17,La Liga,Eibar,Isco,22,es ESP,AM,25-184,70,0,1,0,0,2,2,0,0,0,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,75,0,0,0.5,0.5,0.1,4,1,60,69,87,7,62,5,2,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,60,69,87,962,275,31,33,93.9,21,24,87.5,6,10,60,1,0.1,0.6,1,8,2,1,7,,,
10/22/17,La Liga,Eibar,Lucas Vázquez,17,es ESP,AM,26-113,20,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,18,1,0,0,0,0.1,1,0,10,14,71.4,1,15,2,3,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,10,14,71.4,168,48,7,9,77.8,0,1,0,2,2,100,0,0.1,0.1,1,1,2,1,1,,,
10/22/17,La Liga,Eibar,Dani Ceballos,24,es ESP,LM,21-076,70,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,73,1,2,0,0,0,2,0,63,69,91.3,5,61,0,2,2,1,0,1,0,0,0,2,0,2,2,0,2,0,1,1,0,63,69,91.3,906,197,35,37,94.6,18,18,100,6,8,75,0,0,0,1,6,0,0,5,,,
10/22/17,La Liga,Eibar,Marcelo,12,br BRA,LM,29-163,20,1,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,13,0,0,0.1,0.1,0.1,3,1,10,11,90.9,1,9,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,11,90.9,178,90,3,3,100,6,6,100,1,1,100,0,0.1,0.2,1,1,0,0,1,,,
10/22/17,La Liga,Eibar,Luka Modrić,10,hr CRO,RM,32-043,90,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,77,1,0,0,0,0.4,5,1,63,72,87.5,9,62,0,2,2,1,0,0,1,0,1,1,100,0,0,0,0,1,2,1,0,63,72,87.5,1122,419,35,37,94.6,20,25,80,8,8,100,0,0.4,0.1,3,7,1,0,9,,,
10/22/17,La Liga,Eibar,Casemiro,14,br BRA,DM,25-241,90,0,0,0,0,1,0,1,0,1,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,65,5,0,0,0,0,2,0,44,58,75.9,3,56,1,1,1,5,5,5,0,0,2,4,50,2,0,0,0,1,6,2,0,44,58,75.9,764,239,14,17,82.4,23,29,79.3,3,7,42.9,0,0,0,0,6,0,0,3,,,
10/22/17,La Liga,Eibar,Theo Hernández,15,fr FRA,LB,20-016,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,71,2,0,0,0,0,0,0,51,65,78.5,7,56,3,3,2,2,1,2,0,0,1,3,33.3,2,0,0,0,0,2,3,0,51,65,78.5,681,255,32,36,88.9,15,22,68.2,1,1,100,0,0,0,0,5,2,1,7,,,
10/22/17,La Liga,Eibar,Sergio Ramos,4,es ESP,CB,31-206,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,83,1,1,0,0,0,0,0,70,76,92.1,5,69,1,2,2,1,1,0,1,0,0,1,0,1,1,0,1,2,3,2,0,70,76,92.1,1335,649,23,24,95.8,37,39,94.9,9,11,81.8,0,0,0,0,4,0,0,5,,,
10/22/17,La Liga,Eibar,Raphaël Varane,5,fr FRA,CB,24-180,90,0,0,0,0,0,0,0,0,5,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,72,0,0,0,0,0,1,0,54,58,93.1,5,44,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,5,5,8,0,54,58,93.1,1219,534,19,19,100,22,24,91.7,13,15,86.7,0,0,0,0,7,0,0,5,,,
10/22/17,La Liga,Eibar,Nacho,6,es ESP,RB,27-277,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,58,2,2,0,0,0,1,0,40,50,80,2,32,2,2,1,2,1,2,0,0,2,2,100,0,2,0,2,1,3,1,0,40,50,80,603,188,19,23,82.6,16,20,80,2,2,100,0,0,0,0,0,0,0,2,,,
10/22/17,La Liga,Eibar,Kiko Casilla,13,es ESP,GK,31-020,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/a37fb252/Real-Madrid-Eibar-October-22-2017-La-Liga,17_18,45,0,0,0,0,0,0,0,36,40,90,0,22,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,36,40,90,968,691,3,3,100,22,22,100,11,15,73.3,0,0,0,0,0,0,0,0,,,
10/29/17,La Liga,Girona,Karim Benzema,9,fr FRA,FW,29-314,90,0,0,0,0,2,0,0,0,0,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,34,0,0,0.2,0.2,0.2,5,0,24,29,82.8,1,29,3,5,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,24,29,82.8,279,71,19,21,90.5,4,6,66.7,1,1,100,0,0.2,0.4,3,1,1,0,1,,,
10/29/17,La Liga,Girona,Cristiano Ronaldo,7,pt POR,FW,32-266,90,0,0,0,0,7,3,0,0,0,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,35,0,1,0.5,0.5,0.1,3,1,18,23,78.3,4,27,5,2,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,18,23,78.3,283,44,10,14,71.4,4,4,100,3,4,75,0,0.1,0.1,1,0,1,0,4,,,
10/29/17,La Liga,Girona,Isco,22,es ESP,AM,25-191,90,1,0,0,0,1,1,0,0,3,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,95,1,0,0.6,0.6,0.1,4,0,70,86,81.4,23,75,7,6,6,1,1,0,1,0,0,3,0,3,0,0,0,3,4,1,0,70,86,81.4,1090,420,38,43,88.4,25,28,89.3,6,8,75,0,0.1,0.1,1,10,3,0,23,,,
10/29/17,La Liga,Girona,Luka Modrić,10,hr CRO,LM,32-050,90,0,0,0,0,0,0,1,0,2,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,81,0,2,0,0,0.1,5,0,62,72,86.1,13,63,5,8,4,0,0,0,0,0,0,1,0,1,2,1,1,2,2,1,0,62,72,86.1,1093,428,32,35,91.4,24,27,88.9,6,8,75,0,0.1,0.2,1,7,3,1,13,,,
10/29/17,La Liga,Girona,Casemiro,14,br BRA,CM,25-248,90,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,71,6,2,0,0,0,1,0,43,55,78.2,4,41,2,0,0,6,4,4,2,0,2,5,40,3,2,1,1,1,7,2,0,43,55,78.2,776,176,24,27,88.9,12,17,70.6,7,10,70,0,0,0,0,6,0,0,4,,,
10/29/17,La Liga,Girona,Toni Kroos,8,de GER,RM,27-298,90,0,0,0,0,2,0,0,0,1,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,94,1,1,0.1,0.1,0.2,3,0,79,88,89.8,9,61,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,2,0,0,79,88,89.8,1402,503,35,38,92.1,37,41,90.2,5,7,71.4,0,0.2,0.2,2,3,0,0,9,,,
10/29/17,La Liga,Girona,Marcelo,12,br BRA,LB,29-170,65,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,52,1,0,0,0,0,1,0,37,47,78.7,3,31,0,4,2,1,1,0,1,0,1,1,100,0,0,0,0,0,1,1,0,37,47,78.7,526,197,21,22,95.5,14,16,87.5,1,4,25,0,0,0,0,4,1,0,3,,,
10/29/17,La Liga,Girona,Lucas Vázquez,17,es ESP,LB,26-120,25,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,22,0,0,0,0,0,1,0,14,19,73.7,0,13,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,14,19,73.7,208,14,8,9,88.9,5,9,55.6,1,1,100,0,0,0,1,1,0,0,0,,,
10/29/17,La Liga,Girona,Sergio Ramos,4,es ESP,CB,31-213,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,78,2,1,0,0,0.1,2,0,63,72,87.5,4,39,1,1,1,2,2,2,0,0,1,1,100,0,1,1,0,2,4,2,0,63,72,87.5,1006,456,33,34,97.1,27,30,90,3,7,42.9,0,0.1,0.1,1,2,0,0,4,,,
10/29/17,La Liga,Girona,Raphaël Varane,5,fr FRA,CB,24-187,45,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,31,3,2,0,0,0,0,0,20,23,87,0,12,0,0,0,3,3,3,0,0,0,0,,0,2,0,2,0,3,4,0,20,23,87,403,169,8,8,100,9,11,81.8,3,3,100,0,0,0,0,0,0,0,0,,,
10/29/17,La Liga,Girona,Nacho,6,es ESP,CB,27-284,45,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,25,2,0,0,0,0,0,0,17,18,94.4,2,14,0,0,0,2,2,1,1,0,0,2,0,2,0,0,0,2,4,1,0,17,18,94.4,259,78,8,8,100,8,8,100,0,0,,0,0,0,0,2,0,0,2,,,
10/29/17,La Liga,Girona,Achraf Hakimi,19,ma MAR,RB,18-359,65,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,33,0,1,0,0,0,1,0,21,28,75,1,18,2,1,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,1,21,28,75,326,109,10,13,76.9,9,11,81.8,1,3,33.3,0,0,0,1,1,1,0,1,,,
10/29/17,La Liga,Girona,Marco Asensio,20,es ESP,RB,21-281,25,0,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,18,0,0,0.1,0.1,0,1,0,10,16,62.5,2,13,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,16,62.5,146,63,6,8,75,4,5,80,0,1,0,0,0,0,0,0,1,0,2,,,
10/29/17,La Liga,Girona,Kiko Casilla,13,es ESP,GK,31-027,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga,17_18,31,0,0,0,0,0,0,0,16,27,59.3,0,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,16,27,59.3,390,352,3,3,100,9,9,100,4,15,26.7,0,0,0,0,0,0,0,0,,,
11/1/17,Champions League,Tottenham Hotspur,Cristiano Ronaldo,7,pt POR,FW,32-269,90,1,0,0,0,7,5,0,0,0,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League,17_18,45,0,0,1,1,0,3,0,33,36,91.7,5,33,4,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,33,36,91.7,455,61,20,21,95.2,11,12,91.7,1,1,100,0,0,0,0,1,2,0,5,,,
11/1/17,Champions League,Tottenham Hotspur,Karim Benzema,9,fr FRA,FW,29-317,72,0,0,0,0,2,1,0,0,0,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League,17_18,35,0,0,0.1,0.1,0.2,4,0,23,30,76.7,3,27,4,4,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23,30,76.7,322,42,15,16,93.8,8,10,80,0,2,0,0,0.2,0.4,1,3,0,0,3,,,
11/1/17,Champions League,Tottenham Hotspur,Marco Asensio,20,es ESP,"RM,FW,CM",21-284,18,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League,17_18,19,0,0,0,0,0,1,0,16,18,88.9,2,17,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16,18,88.9,293,59,7,9,77.8,6,6,100,3,3,100,0,0,0,0,2,0,0,2,,,
11/1/17,Champions League,Tottenham Hotspur,Isco,22,es ESP,AM,25-194,72,0,0,0,0,2,1,0,0,0,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League,17_18,81,1,2,0.1,0.1,0.2,4,0,60,74,81.1,6,60,5,1,1,1,1,1,0,0,0,1,0,1,2,0,2,0,1,0,0,60,74,81.1,946,229,37,38,97.4,17,22,77.3,6,12,50,0,0.2,0.1,3,5,1,0,6,,,
11/1/17,Champions League,Tottenham Hotspur,Borja Mayoral,21,es ESP,"FW,AM",20-210,18,0,1,0,0,0,0,0,0,0,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League,17_18,8,0,0,0,0,0.6,2,1,7,8,87.5,2,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,8,87.5,120,17,1,1,100,5,5,100,0,0,,1,0.6,0.7,2,0,0,0,2,,,
11/1/17,Champions League,Tottenham Hotspur,Toni Kroos,8,de GER,"LM,CM",27-301,90,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League,17_18,101,0,1,0,0,0,4,0,82,97,84.5,14,68,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,82,97,84.5,1644,550,40,43,93,27,30,90,15,22,68.2,0,0,0.1,0,11,1,0,14,,,
11/1/17,Champions League,Tottenham Hotspur,Luka Modrić,10,hr CRO,RM,32-053,80,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League,17_18,77,1,0,0,0,0,1,0,67,74,90.5,12,59,3,1,1,1,1,0,0,1,1,1,100,0,0,0,0,0,1,0,0,67,74,90.5,1419,374,27,27,100,26,30,86.7,13,14,92.9,0,0,0.1,1,12,1,0,12,,,
11/1/17,Champions League,Tottenham Hotspur,Theo Hernández,15,fr FRA,"LM,CM",20-026,10,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League,17_18,12,0,0,0,0,0,1,0,10,12,83.3,1,11,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,12,83.3,136,20,7,8,87.5,3,3,100,0,1,0,0,0,0,0,1,0,0,1,,,
11/1/17,Champions League,Tottenham Hotspur,Casemiro,14,br BRA,"DM,CM,CB",25-251,90,0,0,0,0,2,2,0,0,2,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League,17_18,71,5,3,0.1,0.1,0,0,0,53,58,91.4,4,38,0,0,0,5,4,2,3,0,4,8,50,4,3,1,2,2,7,3,0,53,58,91.4,1049,340,20,21,95.2,26,26,100,6,10,60,0,0,0,0,3,0,0,4,,,
