Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int,Match URL,Season, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,xAG,xA,KP,PPA,CrsPA,PrgP,Position_Group,Rebalanced_Score,Week
2017-08-20,La Liga,Deportivo La Coruna,Sergio Ramos,4.0,es ESP,CB,31-143,89.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,76.0,1.0,1.0,0.0,0.0,0.0,59.0,67.0,88.1,3.0,43.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,59.0,67.0,88.1,1101.0,530.0,24.0,26.0,92.3,28.0,29.0,96.6,7.0,10.0,0.0,0.0,0.1,1.0,1.0,0.0,3.0,Defense,9.705630461922595,33
2017-08-20,La Liga,Deportivo La Coruna,Nacho,6.0,es ESP,CB,27-214,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,49.0,2.0,1.0,0.0,0.0,0.0,34.0,41.0,82.9,0.0,28.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,34.0,41.0,82.9,587.0,189.0,18.0,20.0,90.0,12.0,16.0,75.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defense,9.6,33
2017-08-20,La Liga,Deportivo La Coruna,Dani Carvajal,2.0,es ESP,RB,25-221,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,83.0,4.0,0.0,0.0,0.0,0.0,67.0,75.0,89.3,4.0,47.0,2.0,1.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,67.0,75.0,89.3,955.0,279.0,44.0,46.0,95.7,16.0,19.0,84.2,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Defense,12.1,33
2017-08-20,La Liga,Deportivo La Coruna,Keylor Navas,1.0,cr CRC,GK,30-248,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/9418a9ea/Deportivo-La-Coruna-Real-Madrid-August-20-2017-La-Liga,17_18,30.0,0.0,0.0,0.0,0.0,0.0,21.0,25.0,84.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,25.0,84.0,550.0,392.0,4.0,4.0,100.0,11.0,11.0,100.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,16.8,33
2017-08-27,La Liga,Valencia,Karim Benzema,9.0,fr FRA,FW,29-251,90.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,37.0,0.0,0.0,2.6,2.6,0.1,20.0,25.0,80.0,1.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,20.0,25.0,80.0,288.0,39.0,12.0,16.0,75.0,6.0,6.0,100.0,2.0,3.0,0.0,0.1,0.0,2.0,0.0,0.0,1.0,Forward,11.1,34
2017-08-27,La Liga,Valencia,Marco Asensio,20.0,es ESP,"LW,LM",21-218,90.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,62.0,3.0,1.0,0.2,0.2,0.5,42.0,47.0,89.4,5.0,46.0,11.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,42.0,47.0,89.4,725.0,143.0,26.0,29.0,89.7,11.0,12.0,91.7,5.0,6.0,0.0,0.5,0.2,2.0,2.0,1.0,5.0,Forward,15.6,34
2017-08-27,La Liga,Valencia,Gareth Bale,11.0,wls WAL,RW,28-042,73.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,35.0,2.0,0.0,0.1,0.1,0.6,24.0,28.0,85.7,5.0,27.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,24.0,28.0,85.7,326.0,79.0,16.0,17.0,94.1,8.0,9.0,88.9,0.0,2.0,0.0,0.6,0.5,2.0,1.0,0.0,5.0,Forward,1.9304261796042617,34
2017-08-27,La Liga,Valencia,Lucas Vázquez,17.0,es ESP,"RW,RM",26-057,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,12.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,164.0,78.0,6.0,6.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.1,1.0,2.0,1.0,2.0,Forward,0.0188888888888888,34
2017-08-27,La Liga,Valencia,Isco,22.0,es ESP,LM,25-128,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,39.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,94.4,2.0,34.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,94.4,608.0,70.0,20.0,20.0,100.0,10.0,10.0,100.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Midfield,4.130000000000001,34
2017-08-27,La Liga,Valencia,Mateo Kovačić,23.0,hr CRO,"CM,LM",23-113,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,33.0,0.0,0.0,0.0,0.0,0.0,31.0,32.0,96.9,2.0,31.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,32.0,96.9,652.0,203.0,7.0,7.0,100.0,21.0,22.0,95.5,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,Midfield,7.630000000000002,34
