Position,Train_R2,Test_R2,Test_MAE,Test_RMSE,Features_Count
Forward,0.9921075594197665,0.9656330659867853,0.6566805974713259,1.3660842781319005,12
Midfield,0.9886062167647195,0.9847018839614885,0.4988049433663187,0.6511182200593721,12
Defense,0.9338324082077243,0.7276466547361995,1.447745724680589,1.7871149692798325,11
Goalkeeper,0.9939318687293394,0.9959196736514649,0.19590741774891818,0.22590304257485644,10
