Model,Test_R2,Test_MAE,Test_RMSE,Val_R2
Combined,0.7892640109045874,2.131802030479146,3.0840542892560485,0.8170665790642824
Forward,0.9716797614079461,0.8497318679618125,1.2186558157999492,0.9799775757417296
Midfield,0.948365025070268,0.8545931278745921,1.1220272403690872,0.913074039699369
Defense,0.884153155322486,0.9586978227551602,1.1643034524071905,0.9106145890367453
