Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Int,Match URL,Season,Touches,Tkl,Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,xAG,xA,KP,3-Jan,PPA,CrsPA,PrgP,SCA SCA,SCA GCA,1/3,Gls_per90,Ast_per90,Sh_per90,SoT_per90,PosGroup,Def_Action_Rate,Creativity_Index,Composite_Score,Composite_Score_roll3
2018-05-12,La Liga,Celta Vigo,Achraf Hakimi,19.0,ma MAR,RB,19-189,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,https://fbref.com/en/matches/941c956d/Real-Madrid-Celta-Vigo-May-12-2018-La-Liga,2018.0,91.0,1.0,2.0,0.1,0.1,0.0,1.0,1.0,65.0,78.0,83.3,2.0,49.0,4.0,6.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,25.0,3.0,2.0,0.0,2.0,2.0,3.0,0.0,65.0,78.0,83.3,836.0,413.0,43.0,50.0,86.0,18.0,21.0,85.7,2.0,3.0,66.7,0.0,0.1,0.0,1.0,1.0,1.0,2.0,,,,1.0,0.0,1.0,1.0,DF,5.0,0.0,0.7000000000000002,0.2333333333333334
2019-09-25,La Liga,Osasuna,Alphonse Areola,1.0,fr FRA,GK,26-210,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/7ffc194c/Real-Madrid-Osasuna-September-25-2019-La-Liga,2019.0,38.0,0.0,0.0,0.0,0.0,0.0,,,33.0,38.0,86.8,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,38.0,86.8,825.0,525.0,4.0,4.0,100.0,23.0,23.0,100.0,6.0,11.0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2019-10-01,Champions League,Club Brugge,Alphonse Areola,1.0,fr FRA,GK,26-216,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/ab9819b4/Real-Madrid-Club-Brugge-October-1-2019-Champions-League,2019.0,18.0,0.0,0.0,0.0,0.0,0.0,,,15.0,17.0,88.2,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,88.2,321.0,214.0,2.0,2.0,100.0,13.0,14.0,92.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2019-10-05,La Liga,Granada,Alphonse Areola,1.0,fr FRA,GK,26-220,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://fbref.com/en/matches/51ae71b1/Real-Madrid-Granada-October-5-2019-La-Liga,2019.0,28.0,0.0,0.0,0.0,0.0,0.0,,,19.0,26.0,73.1,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0,73.1,490.0,292.0,3.0,3.0,100.0,8.0,8.0,100.0,8.0,15.0,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2019-11-30,La Liga,Alaves,Alphonse Areola,1.0,fr FRA,GK,26-276,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/6be3710a/Alaves-Real-Madrid-November-30-2019-La-Liga,2019.0,31.0,0.0,0.0,0.0,0.0,0.0,,,26.0,30.0,86.7,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,30.0,86.7,713.0,557.0,6.0,6.0,100.0,10.0,10.0,100.0,10.0,14.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2019-12-11,Champions League,Club Brugge,Alphonse Areola,1.0,fr FRA,GK,26-287,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/a3e85342/Club-Brugge-Real-Madrid-December-11-2019-Champions-League,2019.0,43.0,0.0,0.0,0.0,0.0,0.0,,,32.0,42.0,76.2,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,42.0,76.2,915.0,597.0,5.0,5.0,100.0,18.0,18.0,100.0,9.0,19.0,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2020-07-19,La Liga,Leganes,Alphonse Areola,1.0,fr FRA,GK,27-143,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/7cdb5230/Leganes-Real-Madrid-July-19-2020-La-Liga,2020.0,41.0,0.0,0.0,0.0,0.0,0.0,,,35.0,40.0,87.5,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,40.0,87.5,862.0,513.0,4.0,4.0,100.0,24.0,24.0,100.0,7.0,12.0,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2022-05-08,La Liga,Atletico Madrid,Andriy Lunin,13.0,ua UKR,GK,23-086,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/fbed1810/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-May-8-2022-La-Liga,2022.0,45.0,0.0,0.0,0.0,0.0,0.0,,,41.0,43.0,95.3,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,43.0,95.3,1056.0,694.0,6.0,6.0,100.0,24.0,25.0,96.0,11.0,12.0,91.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2022-05-15,La Liga,Cadiz,Andriy Lunin,13.0,ua UKR,GK,23-093,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/f9b64cdb/Cadiz-Real-Madrid-May-15-2022-La-Liga,2022.0,43.0,0.0,0.0,0.0,0.0,0.0,,,29.0,37.0,78.4,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0,37.0,78.4,640.0,392.0,6.0,6.0,100.0,19.0,21.0,90.5,4.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,2.0,0.0,0.0,0.0
2022-10-02,La Liga,Osasuna,Andriy Lunin,13.0,ua UKR,GK,23-233,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/0665a24f/Real-Madrid-Osasuna-October-2-2022-La-Liga,2022.0,24.0,0.0,0.0,0.0,0.0,0.0,,,22.0,23.0,95.7,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,95.7,461.0,311.0,1.0,1.0,100.0,18.0,18.0,100.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
