Player,Position,Current_Score,Predicted_Score,Score_Change,Confidence
Thibaut Courtois,Goalkeeper,30.0,30.224855422973633,0.2248554229736328,High
Kepa Arrizabalaga,Goalkeeper,24.0,23.901403427124023,-0.09859657287597656,High
Alphonse Areola,Goalkeeper,22.746,22.554109573364258,-0.19189042663574085,High
Andriy Lunin,Goalkeeper,21.6,21.782543182373047,0.18254318237304545,High
Toni Kroos,Midfield,21.07562091503268,21.02365493774414,-0.05196597728853902,High
Sergio Reguilón,Defense,21.1,20.898666381835938,-0.20133361816406392,High
Keylor Navas,Goalkeeper,20.016,20.398574829101562,0.38257482910156426,High
Kylian Mbappé,Forward,17.6,17.56266975402832,-0.03733024597168111,High
Kiko Casilla,Goalkeeper,17.4,17.32904815673828,-0.07095184326171733,High
Raúl Asencio,Defense,17.1,17.010799407958984,-0.08920059204101705,High
Mateo Kovačić,Midfield,15.96,15.644186019897461,-0.3158139801025399,High
Jude Bellingham,Forward,13.6,13.875205993652344,0.2752059936523441,High
Fran Garcia,Defense,12.6,12.768966674804688,0.16896667480468786,High
Luka Modrić,Midfield,12.323927648578811,12.449195861816406,0.12526821323759485,High
Dani Carvajal,Defense,11.72,11.91671371459961,0.19671371459960874,High
Dani Ceballos,Midfield,11.64,11.667449951171875,0.02744995117187443,High
Vinicius Júnior,Forward,11.79,11.635506629943848,-0.1544933700561515,High
Achraf Hakimi,Defense,11.1,11.138219833374023,0.03821983337402379,High
Luka Jović,Forward,10.830277777777775,10.928193092346191,0.09791531456841618,High
Karim Benzema,Forward,10.697549467275495,10.79902458190918,0.10147511463368453,High
Casemiro,Defense,11.013333333333332,10.720444679260254,-0.29288865407307796,High
Nacho,Defense,10.72,10.449983596801758,-0.2700164031982428,High
Raphaël Varane,Defense,10.486666666666666,10.239152908325195,-0.24751375834147105,High
Gareth Bale,Forward,10.31300653594771,10.145696640014648,-0.16730989593306234,High
Antonio Rüdiger,Defense,9.766666666666666,9.529674530029297,-0.23699213663736884,High
Lucas Vázquez,Defense,9.231637426900583,9.06373405456543,-0.16790337233515373,High
Aurélien Tchouaméni,Defense,8.90838383838384,8.516143798828125,-0.3922400395557144,High
Eduardo Camavinga,Midfield,8.81,8.420265197753906,-0.38973480224609425,High
Jacobo Ramón,Defense,8.1,7.6337456703186035,-0.46625432968139613,High
Denis Cheryshev,Forward,5.015555555555555,7.040446758270264,2.0248912027147083,Medium
Nicolás Paz,Midfield,6.701111111111111,6.763265132904053,0.06215402179294216,High
Marcos Llorente,Midfield,6.7044444444444435,6.435557842254639,-0.26888660218980487,High
Theo Hernández,Defense,5.840000000000001,6.279712200164795,0.4397122001647942,High
Javi Sánchez,Defense,7.259999999999998,6.081936836242676,-1.1780631637573222,High
Ferland Mendy,Defense,5.974688346883468,5.957396984100342,-0.017291362783126374,High
Federico Valverde,Midfield,5.459999999999999,5.486961841583252,0.026961841583252877,High
Álvaro Morata,Forward,4.501111111111111,4.808730125427246,0.3076190143161348,High
David Alaba,Defense,4.690000000000001,4.65292501449585,-0.03707498550415167,High
Sergio Arribas,Forward,4.511111111111111,4.455671787261963,-0.05543932384914818,High
Jesús Vallejo,Defense,4.038888888888889,4.384462356567383,0.34557346767849406,High
Álvaro Odriozola,Defense,4.007777777777778,3.599365234375,-0.4084125434027781,High
Sergio Ramos,Defense,3.493333333333332,3.5709526538848877,0.07761932055155585,High
Endrick,Forward,2.431754385964912,2.894925832748413,0.4631714467835013,High
Cristiano Ronaldo,Forward,2.6,2.7536768913269043,0.1536768913269042,High
Marvin,Defense,2.623333333333335,2.6688525676727295,0.04551923433939464,High
Miguel Gutiérrez,Defense,2.149145299145299,2.0960423946380615,-0.053102904507237536,High
Hugo Duro,Forward,1.5333333333333334,1.6796531677246094,0.14631983439127594,High
Arda Güler,Forward,1.6,1.667607069015503,0.06760706901550284,High
Éder Militão,Defense,1.5839463601532566,1.6024093627929688,0.018463002639712123,High
Mariano,Forward,1.5333333333333334,1.5511900186538696,0.017856685320536192,High
Brahim Díaz,Forward,0.06,0.18817681074142456,0.12817681074142456,High
James Rodríguez,Forward,0.0855555555555555,0.16720157861709595,0.08164602306154045,High
Marcelo,Defense,0.0233333333333333,0.1554928421974182,0.13215950886408492,High
Marco Asensio,Forward,0.0355555555555555,0.1473027914762497,0.11174723592069419,High
Joselu,Forward,0.0066666666666666,0.09221111238002777,0.08554444571336117,High
Gonzalo García,Forward,0.0155555555555555,0.06856799870729446,0.05301244315173896,High
Eden Hazard,Forward,0.0666666666666666,0.06551717221736908,-0.0011494944492975168,High
Rodrygo,Forward,0.02,0.06374144554138184,0.04374144554138183,High
Jesé,Forward,0.0166666666666666,0.035664234310388565,0.018997567643721965,High
Álvaro Rodríguez,Forward,0.0011111111111111,-0.031415972858667374,-0.03252708396977847,High
Isco,Forward,0.0233333333333333,-0.08030582964420319,-0.10363916297753649,High
Borja Mayoral,Forward,0.0044444444444444,-0.2120262086391449,-0.2164706530835893,High
