Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int,Match URL
9/14/16,Champions League,Sporting Cp,Álvaro Morata,21,es ESP,FW,23-327,22,1,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
9/14/16,Champions League,Sporting Cp,Cristiano Ronaldo,7,pt POR,FW,31-222,90,1,0,0,0,4,2,0,0,0,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
9/14/16,Champions League,Sporting Cp,Gareth Bale,11,wls WAL,FW,27-060,67,0,0,0,0,2,0,0,0,0,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
9/14/16,Champions League,Sporting Cp,Lucas Vázquez,17,es ESP,"DF,FW",25-075,23,0,0,0,0,2,0,0,0,1,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
9/14/16,Champions League,Sporting Cp,Toni Kroos,8,de GER,CM,26-254,77,0,0,0,0,0,0,1,0,0,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
9/14/16,Champions League,Sporting Cp,James Rodríguez,10,co COL,"FW,MF",25-064,13,0,1,0,0,0,0,0,0,0,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
9/14/16,Champions League,Sporting Cp,Casemiro,14,br BRA,CM,24-204,90,0,0,0,0,1,0,0,0,4,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
9/14/16,Champions League,Sporting Cp,Luka Modrić,19,hr CRO,CM,31-005,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
9/14/16,Champions League,Sporting Cp,Marcelo,12,br BRA,LB,28-125,90,0,0,0,0,0,0,0,0,4,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
9/14/16,Champions League,Sporting Cp,Sergio Ramos,4,es ESP,CB,30-168,90,0,0,0,0,1,0,0,0,5,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
9/14/16,Champions League,Sporting Cp,Raphaël Varane,5,fr FRA,CB,23-142,90,0,0,0,0,2,0,0,0,0,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
9/14/16,Champions League,Sporting Cp,Dani Carvajal,2,es ESP,RB,24-247,90,0,0,0,0,2,0,0,0,4,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
9/14/16,Champions League,Sporting Cp,Kiko Casilla,13,es ESP,GK,29-348,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
9/18/16,La Liga,Espanyol,Karim Benzema,9,fr FRA,FW,28-274,71,1,0,0,0,4,3,0,0,0,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/18/16,La Liga,Espanyol,Álvaro Morata,21,es ESP,FW,23-331,19,0,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/18/16,La Liga,Espanyol,Marco Asensio,20,es ESP,FW,20-241,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/18/16,La Liga,Espanyol,Lucas Vázquez,17,es ESP,FW,25-079,90,0,1,0,0,2,0,0,0,0,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/18/16,La Liga,Espanyol,James Rodríguez,10,co COL,CM,25-068,61,1,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/18/16,La Liga,Espanyol,Isco,22,es ESP,"FW,MF",24-150,29,0,0,0,0,2,1,0,0,0,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/18/16,La Liga,Espanyol,Casemiro,14,br BRA,CM,24-208,18,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/18/16,La Liga,Espanyol,Toni Kroos,8,de GER,MF,26-258,72,0,1,0,0,1,0,0,0,3,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/18/16,La Liga,Espanyol,Luka Modrić,19,hr CRO,CM,31-009,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/18/16,La Liga,Espanyol,Marcelo,12,br BRA,LB,28-129,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/18/16,La Liga,Espanyol,Sergio Ramos,4,es ESP,CB,30-172,90,0,0,0,0,2,1,1,0,2,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/18/16,La Liga,Espanyol,Pepe,3,pt POR,CB,33-205,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/18/16,La Liga,Espanyol,Dani Carvajal,2,es ESP,RB,24-251,90,0,0,0,0,0,0,1,0,1,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/18/16,La Liga,Espanyol,Kiko Casilla,13,es ESP,GK,29-352,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c770f848/Espanyol-Real-Madrid-September-18-2016-La-Liga
9/21/16,La Liga,Villarreal,Karim Benzema,9,fr FRA,FW,28-277,76,0,0,0,0,4,0,0,0,0,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/21/16,La Liga,Villarreal,Álvaro Morata,21,es ESP,FW,23-334,14,0,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/21/16,La Liga,Villarreal,Cristiano Ronaldo,7,pt POR,FW,31-229,90,0,0,0,0,4,2,1,0,0,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/21/16,La Liga,Villarreal,Gareth Bale,11,wls WAL,FW,27-067,71,0,0,0,0,2,0,0,0,1,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/21/16,La Liga,Villarreal,Lucas Vázquez,17,es ESP,"DF,FW",25-082,19,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/21/16,La Liga,Villarreal,Mateo Kovačić,16,hr CRO,CM,22-138,90,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/21/16,La Liga,Villarreal,Toni Kroos,8,de GER,CM,26-261,90,0,0,0,0,4,2,1,0,3,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/21/16,La Liga,Villarreal,James Rodríguez,10,co COL,CM,25-071,90,0,1,0,0,1,0,0,0,1,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/21/16,La Liga,Villarreal,Marcelo,12,br BRA,LB,28-132,44,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/21/16,La Liga,Villarreal,Dani Carvajal,2,es ESP,DF,24-254,46,0,0,0,0,0,0,1,0,1,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/21/16,La Liga,Villarreal,Sergio Ramos,4,es ESP,CB,30-175,90,1,0,0,0,3,1,1,0,0,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/21/16,La Liga,Villarreal,Raphaël Varane,5,fr FRA,CB,23-149,90,0,0,0,0,1,0,0,0,3,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/21/16,La Liga,Villarreal,Danilo,23,br BRA,RB,25-068,90,0,0,0,0,1,0,0,0,2,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/21/16,La Liga,Villarreal,Kiko Casilla,13,es ESP,GK,29-355,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/36334317/Real-Madrid-Villarreal-September-21-2016-La-Liga
9/24/16,La Liga,Las Palmas,Álvaro Morata,21,es ESP,FW,23-337,79,0,1,0,0,5,2,0,0,1,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/24/16,La Liga,Las Palmas,Isco,22,es ESP,"FW,MF",24-156,11,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/24/16,La Liga,Las Palmas,Cristiano Ronaldo,7,pt POR,FW,31-232,71,0,0,0,0,6,1,0,0,0,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/24/16,La Liga,Las Palmas,Lucas Vázquez,17,es ESP,"DF,FW",25-085,19,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/24/16,La Liga,Las Palmas,Gareth Bale,11,wls WAL,FW,27-070,90,0,0,0,0,3,2,0,0,2,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/24/16,La Liga,Las Palmas,Marco Asensio,20,es ESP,CM,20-247,63,1,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/24/16,La Liga,Las Palmas,Karim Benzema,9,fr FRA,FW,28-280,27,1,0,0,0,3,2,0,0,0,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/24/16,La Liga,Las Palmas,Toni Kroos,8,de GER,CM,26-264,90,0,0,0,0,2,1,1,0,2,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/24/16,La Liga,Las Palmas,Luka Modrić,19,hr CRO,CM,31-015,90,0,0,0,0,1,1,0,0,1,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/24/16,La Liga,Las Palmas,Nacho,6,es ESP,LB,26-250,90,0,0,0,0,2,1,0,0,1,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/24/16,La Liga,Las Palmas,Sergio Ramos,4,es ESP,CB,30-178,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/24/16,La Liga,Las Palmas,Raphaël Varane,5,fr FRA,CB,23-152,90,0,0,0,0,2,0,0,0,1,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/24/16,La Liga,Las Palmas,Dani Carvajal,2,es ESP,RB,24-257,90,0,0,0,0,1,0,1,0,2,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/24/16,La Liga,Las Palmas,Kiko Casilla,13,es ESP,GK,29-358,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/b0cefa95/Las-Palmas-Real-Madrid-September-24-2016-La-Liga
9/27/16,Champions League,Dortmund,Karim Benzema,9,fr FRA,FW,28-283,88,0,0,0,0,2,0,0,0,0,https://fbref.com/en/matches/8fc5e9a3/Dortmund-Real-Madrid-September-27-2016-Champions-League
9/27/16,Champions League,Dortmund,Álvaro Morata,21,es ESP,FW,23-340,2,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/8fc5e9a3/Dortmund-Real-Madrid-September-27-2016-Champions-League
9/27/16,Champions League,Dortmund,Cristiano Ronaldo,7,pt POR,FW,31-235,90,1,0,0,0,6,3,0,0,0,https://fbref.com/en/matches/8fc5e9a3/Dortmund-Real-Madrid-September-27-2016-Champions-League
9/27/16,Champions League,Dortmund,Gareth Bale,11,wls WAL,FW,27-073,90,0,1,0,0,2,0,0,0,1,https://fbref.com/en/matches/8fc5e9a3/Dortmund-Real-Madrid-September-27-2016-Champions-League
9/27/16,Champions League,Dortmund,James Rodríguez,10,co COL,CM,25-077,69,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/8fc5e9a3/Dortmund-Real-Madrid-September-27-2016-Champions-League
9/27/16,Champions League,Dortmund,Mateo Kovačić,16,hr CRO,MF,22-144,21,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/8fc5e9a3/Dortmund-Real-Madrid-September-27-2016-Champions-League
9/27/16,Champions League,Dortmund,Toni Kroos,8,de GER,DM,26-267,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/8fc5e9a3/Dortmund-Real-Madrid-September-27-2016-Champions-League
9/27/16,Champions League,Dortmund,Luka Modrić,19,hr CRO,CM,31-018,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/8fc5e9a3/Dortmund-Real-Madrid-September-27-2016-Champions-League
9/27/16,Champions League,Dortmund,Danilo,23,br BRA,LB,25-074,90,0,0,0,0,0,0,0,0,4,https://fbref.com/en/matches/8fc5e9a3/Dortmund-Real-Madrid-September-27-2016-Champions-League
9/27/16,Champions League,Dortmund,Sergio Ramos,4,es ESP,CB,30-181,90,0,0,0,0,0,0,1,0,2,https://fbref.com/en/matches/8fc5e9a3/Dortmund-Real-Madrid-September-27-2016-Champions-League
9/27/16,Champions League,Dortmund,Raphaël Varane,5,fr FRA,CB,23-155,90,1,0,0,0,2,1,0,0,1,https://fbref.com/en/matches/8fc5e9a3/Dortmund-Real-Madrid-September-27-2016-Champions-League
9/27/16,Champions League,Dortmund,Dani Carvajal,2,es ESP,RB,24-260,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/8fc5e9a3/Dortmund-Real-Madrid-September-27-2016-Champions-League
9/27/16,Champions League,Dortmund,Keylor Navas,1,cr CRC,GK,29-287,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/8fc5e9a3/Dortmund-Real-Madrid-September-27-2016-Champions-League
10/2/16,La Liga,Eibar,Karim Benzema,9,fr FRA,FW,28-288,45,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/2/16,La Liga,Eibar,Álvaro Morata,21,es ESP,FW,23-345,45,0,0,0,0,0,0,1,0,1,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/2/16,La Liga,Eibar,Cristiano Ronaldo,7,pt POR,FW,31-240,90,0,1,0,0,8,2,0,0,1,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/2/16,La Liga,Eibar,Gareth Bale,11,wls WAL,FW,27-078,90,1,0,0,0,4,1,1,0,0,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/2/16,La Liga,Eibar,Mateo Kovačić,16,hr CRO,CM,22-149,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/2/16,La Liga,Eibar,Toni Kroos,8,de GER,CM,26-272,90,0,0,0,0,0,0,1,0,1,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/2/16,La Liga,Eibar,Isco,22,es ESP,CM,24-164,71,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/2/16,La Liga,Eibar,Marco Asensio,20,es ESP,"FW,MF",20-255,19,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/2/16,La Liga,Eibar,Danilo,23,br BRA,LB,25-079,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/2/16,La Liga,Eibar,Raphaël Varane,5,fr FRA,CB,23-160,45,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/2/16,La Liga,Eibar,Nacho,6,es ESP,DF,26-258,45,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/2/16,La Liga,Eibar,Pepe,3,pt POR,CB,33-219,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/2/16,La Liga,Eibar,Dani Carvajal,2,es ESP,RB,24-265,90,0,0,0,0,0,0,1,0,0,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/2/16,La Liga,Eibar,Keylor Navas,1,cr CRC,GK,29-292,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/80153e0f/Real-Madrid-Eibar-October-2-2016-La-Liga
10/15/16,La Liga,Real Betis,Karim Benzema,9,fr FRA,FW,28-301,74,1,0,0,0,4,2,0,0,0,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
10/15/16,La Liga,Real Betis,Álvaro Morata,21,es ESP,FW,23-358,16,0,1,0,0,0,0,0,0,0,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
