Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int,Match URL
8/21/16,La Liga,Real Sociedad,Álvaro Morata,21,es ESP,FW,23-303,76,0,0,0,0,4,2,1,0,0,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/21/16,La Liga,Real Sociedad,James Rodríguez,10,co COL,"FW,MF",25-040,14,0,1,0,0,1,1,0,0,0,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/21/16,La Liga,Real Sociedad,Marco Asensio,20,es ESP,FW,20-213,65,1,0,0,0,1,1,0,0,1,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/21/16,La Liga,Real Sociedad,Lucas Vázquez,17,es ESP,"DF,FW",25-051,25,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/21/16,La Liga,Real Sociedad,Gareth Bale,11,wls WAL,FW,27-036,90,2,0,0,0,3,2,0,0,2,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/21/16,La Liga,Real Sociedad,Toni Kroos,8,de GER,CM,26-230,72,0,0,0,0,3,1,0,0,1,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/21/16,La Liga,Real Sociedad,Isco,22,es ESP,"FW,MF",24-122,18,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/21/16,La Liga,Real Sociedad,Casemiro,14,br BRA,CM,24-180,90,0,0,0,0,1,0,1,0,2,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/21/16,La Liga,Real Sociedad,Mateo Kovačić,16,hr CRO,CM,22-107,90,0,0,0,0,2,1,0,0,1,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/21/16,La Liga,Real Sociedad,Marcelo,12,br BRA,LB,28-101,90,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/21/16,La Liga,Real Sociedad,Sergio Ramos,4,es ESP,CB,30-144,90,0,0,0,0,2,0,1,0,3,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/21/16,La Liga,Real Sociedad,Raphaël Varane,5,fr FRA,CB,23-118,90,0,1,0,0,0,0,0,0,2,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/21/16,La Liga,Real Sociedad,Dani Carvajal,2,es ESP,RB,24-223,90,0,1,0,0,0,0,0,0,4,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/21/16,La Liga,Real Sociedad,Kiko Casilla,13,es ESP,GK,29-324,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c7f3a29d/Real-Sociedad-Real-Madrid-August-21-2016-La-Liga
8/27/16,La Liga,Celta Vigo,Álvaro Morata,21,es ESP,FW,23-309,76,1,0,0,0,3,1,0,0,0,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
8/27/16,La Liga,Celta Vigo,Mariano,18,do DOM,FW,23-026,14,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
8/27/16,La Liga,Celta Vigo,Marco Asensio,20,es ESP,FW,20-219,64,0,0,0,0,4,2,0,0,0,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
8/27/16,La Liga,Celta Vigo,Lucas Vázquez,17,es ESP,"DF,FW",25-057,26,0,1,0,0,1,0,0,0,0,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
8/27/16,La Liga,Celta Vigo,Gareth Bale,11,wls WAL,FW,27-042,90,0,0,0,0,8,3,0,0,0,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
8/27/16,La Liga,Celta Vigo,Toni Kroos,8,de GER,CM,26-236,90,1,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
8/27/16,La Liga,Celta Vigo,Casemiro,14,br BRA,CM,24-186,90,0,0,0,0,2,0,0,0,2,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
8/27/16,La Liga,Celta Vigo,Luka Modrić,19,hr CRO,CM,30-353,68,0,0,0,0,3,2,0,0,2,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
8/27/16,La Liga,Celta Vigo,James Rodríguez,10,co COL,"FW,MF",25-046,22,0,0,0,0,1,1,0,0,1,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
8/27/16,La Liga,Celta Vigo,Marcelo,12,br BRA,LB,28-107,90,0,0,0,0,0,0,0,0,5,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
8/27/16,La Liga,Celta Vigo,Sergio Ramos,4,es ESP,CB,30-150,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
8/27/16,La Liga,Celta Vigo,Raphaël Varane,5,fr FRA,CB,23-124,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
8/27/16,La Liga,Celta Vigo,Dani Carvajal,2,es ESP,RB,24-229,90,0,0,0,0,0,0,0,0,3,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
8/27/16,La Liga,Celta Vigo,Kiko Casilla,13,es ESP,GK,29-330,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/f215a2b9/Real-Madrid-Celta-Vigo-August-27-2016-La-Liga
9/10/16,La Liga,Osasuna,Álvaro Morata,21,es ESP,FW,23-323,90,0,0,0,0,4,1,0,0,0,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/10/16,La Liga,Osasuna,Cristiano Ronaldo,7,pt POR,FW,31-218,65,1,0,0,0,2,1,0,0,0,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/10/16,La Liga,Osasuna,Karim Benzema,9,fr FRA,FW,28-266,25,0,0,0,0,3,0,0,0,0,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/10/16,La Liga,Osasuna,Gareth Bale,11,wls WAL,FW,27-056,73,0,1,0,0,4,3,0,0,2,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/10/16,La Liga,Osasuna,Lucas Vázquez,17,es ESP,"DF,FW",25-071,17,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/10/16,La Liga,Osasuna,Mateo Kovačić,16,hr CRO,CM,22-127,90,0,0,0,0,1,1,0,0,3,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/10/16,La Liga,Osasuna,Toni Kroos,8,de GER,CM,26-250,90,0,1,0,0,2,0,0,0,0,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/10/16,La Liga,Osasuna,Luka Modrić,19,hr CRO,CM,31-001,62,1,0,0,0,1,1,0,0,3,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/10/16,La Liga,Osasuna,Marco Asensio,20,es ESP,"FW,MF",20-233,28,0,0,0,0,2,1,0,0,0,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/10/16,La Liga,Osasuna,Nacho,6,es ESP,LB,26-236,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/10/16,La Liga,Osasuna,Sergio Ramos,4,es ESP,CB,30-164,90,1,0,0,0,2,1,1,0,1,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/10/16,La Liga,Osasuna,Pepe,3,pt POR,CB,33-197,90,1,0,0,0,2,1,0,0,3,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/10/16,La Liga,Osasuna,Danilo,23,br BRA,RB,25-057,90,1,0,0,0,1,1,1,0,0,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/10/16,La Liga,Osasuna,Kiko Casilla,13,es ESP,GK,29-344,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/e65a2fe5/Real-Madrid-Osasuna-September-10-2016-La-Liga
9/14/16,Champions League,Sporting Cp,Karim Benzema,9,fr FRA,FW,28-270,68,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/8d8a38c0/Real-Madrid-Sporting-CP-September-14-2016-Champions-League
