Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match URL
8/19/18,La Liga,Getafe,Dani Carvajal,2,es ESP,RB,26-220,90,1,0,0,0,2,1,0,0,3,98,2,0,0.1,0.1,0,0,0,73,89,82,3,61,0,3,2,2,2,1,0,1,0,0,,0,0,0,0,3,5,0,0,73,89,82,1188,353,35,40,87.5,33,38,86.8,5,8,62.5,0,0,0,0,4,0,0,3,https://fbref.com/en/matches/25f5e47e/Real-Madrid-Getafe-August-19-2018-La-Liga
8/19/18,La Liga,Getafe,Keylor Navas,1,cr CRC,GK,31-247,90,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,40,44,90.9,0,29,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,40,44,90.9,1127,740,3,3,100,22,22,100,15,19,78.9,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/25f5e47e/Real-Madrid-Getafe-August-19-2018-La-Liga
8/26/18,La Liga,Girona,Karim Benzema,9,fr FRA,FW,30-250,90,2,0,1,1,2,1,1,0,0,55,0,0,1.4,0.6,0.2,5,1,40,46,87,7,33,6,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,40,46,87,567,72,25,27,92.6,11,13,84.6,3,3,100,0,0.2,0.1,3,3,4,0,7,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
8/26/18,La Liga,Girona,Marco Asensio,20,es ESP,"LW,RW",22-217,90,0,0,0,0,2,0,0,0,0,73,0,0,0.1,0.1,0.4,5,3,54,62,87.1,7,60,9,5,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,54,62,87.1,778,173,34,37,91.9,15,17,88.2,4,7,57.1,0,0.4,0.3,1,4,0,0,7,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
8/26/18,La Liga,Girona,Gareth Bale,11,wls WAL,RW,29-041,86,1,1,0,0,4,2,0,0,1,53,0,0,0.8,0.8,1.1,6,2,34,44,77.3,3,42,5,4,3,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,34,44,77.3,584,129,14,17,82.4,16,20,80,3,3,100,1,1.1,0.8,3,1,3,1,3,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
8/26/18,La Liga,Girona,Lucas Vázquez,17,es ESP,"LW,RW",27-056,4,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,1,0,3,3,100,0,6,1,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,3,3,100,30,19,3,3,100,0,0,,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
8/26/18,La Liga,Girona,Isco,22,es ESP,AM,26-127,76,0,1,0,0,2,1,0,0,0,78,0,0,0.9,0.9,0.7,7,1,64,73,87.7,15,68,4,2,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,64,73,87.7,1055,280,42,45,93.3,15,20,75,7,8,87.5,1,0.7,0.2,2,9,2,0,15,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
8/26/18,La Liga,Girona,Luka Modrić,10,hr CRO,AM,32-351,14,0,0,0,0,0,0,0,0,1,21,3,0,0,0,0,1,1,15,17,88.2,5,13,0,0,0,3,0,2,1,0,0,0,,0,0,0,0,1,4,0,0,15,17,88.2,233,83,9,10,90,5,6,83.3,1,1,100,0,0,0,0,2,0,0,5,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
8/26/18,La Liga,Girona,Toni Kroos,8,de GER,DM,28-234,90,0,0,0,0,2,1,0,0,1,118,0,0,0.1,0.1,0.1,4,0,103,112,92,12,95,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,103,112,92,1897,613,55,56,98.2,36,39,92.3,12,16,75,0,0.1,0.1,1,16,0,0,12,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
8/26/18,La Liga,Girona,Casemiro,14,br BRA,DM,26-184,90,0,0,0,0,0,0,0,0,2,85,3,0,0,0,0,2,0,66,76,86.8,4,55,0,2,1,3,2,3,0,0,0,0,,0,0,0,0,2,5,2,0,66,76,86.8,1213,252,33,37,89.2,25,27,92.6,8,10,80,0,0,0,0,3,0,0,4,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
