Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Touches, Tkl, Int, Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match URL
8/14/21,La Liga,Alaves,Karim Benzema,9,fr FRA,FW,33-238,88,2,0,0,0,6,3,0,0,54,0,0,0,0.5,0.5,0,5,1,38,43,88.4,5,40,2,3,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,38,43,88.4,663,104,19,21,90.5,15,16,93.8,4,4,100,0,0,0.1,0,3,2,0,5,https://fbref.com/en/matches/9613fb68/Alaves-Real-Madrid-August-14-2021-La-Liga
8/14/21,La Liga,Alaves,Luka Jović,16,rs SRB,FW,23-234,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/9613fb68/Alaves-Real-Madrid-August-14-2021-La-Liga
8/14/21,La Liga,Alaves,Eden Hazard,7,be BEL,LW,30-219,65,0,1,0,0,2,0,0,0,43,0,1,2,0.1,0.1,0.2,4,1,33,37,89.2,5,37,1,2,2,0,0,0,0,0,0,1,0,1,2,0,2,1,1,0,0,33,37,89.2,479,74,26,28,92.9,6,7,85.7,1,1,100,1,0.2,0.4,3,1,2,0,5,https://fbref.com/en/matches/9613fb68/Alaves-Real-Madrid-August-14-2021-La-Liga
8/14/21,La Liga,Alaves,Vinicius Júnior,20,br BRA,LW,21-033,25,1,0,0,0,2,2,0,0,18,0,0,0,0.5,0.5,0,1,0,13,15,86.7,2,15,2,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13,15,86.7,192,30,8,8,100,4,4,100,1,2,50,0,0,0,1,0,2,0,2,https://fbref.com/en/matches/9613fb68/Alaves-Real-Madrid-August-14-2021-La-Liga
8/14/21,La Liga,Alaves,Gareth Bale,18,wls WAL,RW,32-029,67,0,0,0,0,4,1,1,0,22,0,1,1,0.1,0.1,0,0,0,9,15,60,2,14,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,9,15,60,172,41,3,5,60,5,7,71.4,1,1,100,0,0,0,0,0,2,1,2,https://fbref.com/en/matches/9613fb68/Alaves-Real-Madrid-August-14-2021-La-Liga
8/14/21,La Liga,Alaves,Rodrygo,21,br BRA,RW,20-217,23,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,0,0,7,7,100,0,7,0,0,0,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,7,7,100,86,21,5,5,100,2,2,100,0,0,,0,0,0,0,1,0,0,0,https://fbref.com/en/matches/9613fb68/Alaves-Real-Madrid-August-14-2021-La-Liga
8/14/21,La Liga,Alaves,Luka Modrić,10,hr CRO,LM,35-339,87,0,1,0,0,1,0,0,0,96,2,2,0,0.1,0.1,0.4,5,1,76,85,89.4,19,79,4,4,3,2,1,2,0,0,0,0,,0,0,0,0,2,4,1,0,76,85,89.4,1430,582,32,33,97,33,38,86.8,9,11,81.8,1,0.4,0.1,2,16,1,0,19,https://fbref.com/en/matches/9613fb68/Alaves-Real-Madrid-August-14-2021-La-Liga
8/14/21,La Liga,Alaves,Marco Asensio,11,es ESP,LM,25-205,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,100,12,5,1,1,100,0,0,,0,0,,0,0,0,0,0,1,0,1,https://fbref.com/en/matches/9613fb68/Alaves-Real-Madrid-August-14-2021-La-Liga
8/14/21,La Liga,Alaves,Casemiro,14,br BRA,CM,29-172,90,0,0,0,0,0,0,0,0,85,3,2,4,0,0,0.2,4,0,61,71,85.9,7,58,2,2,2,3,2,1,2,0,2,3,66.7,1,4,1,3,2,5,1,0,61,71,85.9,1240,417,20,23,87,30,34,88.2,11,14,78.6,0,0.2,0,1,9,0,0,7,https://fbref.com/en/matches/9613fb68/Alaves-Real-Madrid-August-14-2021-La-Liga
8/14/21,La Liga,Alaves,Federico Valverde,15,uy URU,RM,23-023,87,0,0,0,0,2,0,0,0,59,2,0,2,0,0,0.1,4,1,46,50,92,7,46,3,3,2,2,1,2,0,0,0,0,,0,2,1,1,0,2,0,0,46,50,92,747,200,26,28,92.9,17,17,100,3,4,75,0,0.1,0.1,1,4,0,0,7,https://fbref.com/en/matches/9613fb68/Alaves-Real-Madrid-August-14-2021-La-Liga
8/14/21,La Liga,Alaves,Isco,22,es ESP,RM,29-115,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,100,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,3,100,57,7,1,1,100,2,2,100,0,0,,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/9613fb68/Alaves-Real-Madrid-August-14-2021-La-Liga
8/14/21,La Liga,Alaves,David Alaba,4,at AUT,LB,29-051,90,0,1,0,0,1,0,0,0,81,1,1,2,0,0,0.4,4,1,60,70,85.7,5,57,3,1,0,1,0,1,0,0,0,0,,0,2,0,2,1,2,1,0,60,70,85.7,996,250,31,34,91.2,24,29,82.8,5,6,83.3,1,0.4,0.6,2,2,1,0,5,https://fbref.com/en/matches/9613fb68/Alaves-Real-Madrid-August-14-2021-La-Liga
