Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
4/18/17,20:45,Champions Lg,Quarter-finals,Tue,Home,W,4,2,de Bayern Munich,44,78346,Sergio Ramos,4-3-3,4-1-4-1,Viktor Kassai,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
4/23/17,20:45,La Liga,Matchweek 33,Sun,Home,L,2,3,Barcelona,42,81044,Sergio Ramos,4-3-3,4-3-1-2,Alejandro Hernández,Match Report,
4/26/17,21:30,La Liga,Matchweek 34,Wed,Away,W,6,2,La Coruña,53,26735,Marcelo,4-1-4-1,4-2-3-1,José Sánchez,Match Report,
4/29/17,16:15,La Liga,Matchweek 35,Sat,Home,W,2,1,Valencia,60,75180,Sergio Ramos,4-3-3,4-2-3-1,Jesús Gil,Match Report,
5/2/17,20:45,Champions Lg,Semi-finals,Tue,Home,W,3,0,es Atlético Madrid,62,77609,Sergio Ramos,4-1-2-1-2,4-4-2,Martin Atkinson,Match Report,Leg 1 of 2
5/6/17,20:45,La Liga,Matchweek 36,Sat,Away,W,4,0,Granada,52,19094,Sergio Ramos,4-2-3-1,4-2-3-1,Ignacio Iglesias,Match Report,
5/10/17,20:45,Champions Lg,Semi-finals,Wed,Away,L,1,2,es Atlético Madrid,64,53422,Sergio Ramos,4-3-1-2,4-4-2,Cüneyt Çakιr,Match Report,Leg 2 of 2; Real Madrid won
5/14/17,20:00,La Liga,Matchweek 37,Sun,Home,W,4,1,Sevilla,49,79356,Sergio Ramos,4-3-3,3-5-1-1,Alberto Undiano,Match Report,
5/17/17,21:00,La Liga,Matchweek 21,Wed,Away,W,4,1,Celta Vigo,48,22838,Sergio Ramos,4-3-3,4-2-3-1,Juan Martínez,Match Report,
5/21/17,20:00,La Liga,Matchweek 38,Sun,Away,W,2,0,Málaga,48,27855,Sergio Ramos,4-3-1-2,4-1-4-1,Ricardo de Burgos,Match Report,
6/3/17,19:45,Champions Lg,Final,Sat,Neutral,W,4,1,it Juventus,56,65842,Sergio Ramos,4-3-1-2,4-2-3-1,Felix Brych,Match Report,
