Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match URL
10/29/17,La Liga,Girona,Cristiano Ronaldo,7,pt POR,FW,32-266,90,0,0,0,0,7,3,0,0,0,35,0,1,0.5,0.5,0.1,3,1,18,23,78.3,4,27,5,2,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,18,23,78.3,283,44,10,14,71.4,4,4,100,3,4,75,0,0.1,0.1,1,0,1,0,4,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga
10/29/17,La Liga,Girona,Isco,22,es ESP,AM,25-191,90,1,0,0,0,1,1,0,0,3,95,1,0,0.6,0.6,0.1,4,0,70,86,81.4,23,75,7,6,6,1,1,0,1,0,0,3,0,3,0,0,0,3,4,1,0,70,86,81.4,1090,420,38,43,88.4,25,28,89.3,6,8,75,0,0.1,0.1,1,10,3,0,23,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga
10/29/17,La Liga,Girona,Luka Modrić,10,hr CRO,LM,32-050,90,0,0,0,0,0,0,1,0,2,81,0,2,0,0,0.1,5,0,62,72,86.1,13,63,5,8,4,0,0,0,0,0,0,1,0,1,2,1,1,2,2,1,0,62,72,86.1,1093,428,32,35,91.4,24,27,88.9,6,8,75,0,0.1,0.2,1,7,3,1,13,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga
10/29/17,La Liga,Girona,Casemiro,14,br BRA,CM,25-248,90,0,0,0,0,1,0,0,0,1,71,6,2,0,0,0,1,0,43,55,78.2,4,41,2,0,0,6,4,4,2,0,2,5,40,3,2,1,1,1,7,2,0,43,55,78.2,776,176,24,27,88.9,12,17,70.6,7,10,70,0,0,0,0,6,0,0,4,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga
10/29/17,La Liga,Girona,Toni Kroos,8,de GER,RM,27-298,90,0,0,0,0,2,0,0,0,1,94,1,1,0.1,0.1,0.2,3,0,79,88,89.8,9,61,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,2,0,0,79,88,89.8,1402,503,35,38,92.1,37,41,90.2,5,7,71.4,0,0.2,0.2,2,3,0,0,9,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga
10/29/17,La Liga,Girona,Marcelo,12,br BRA,LB,29-170,65,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,1,0,37,47,78.7,3,31,0,4,2,1,1,0,1,0,1,1,100,0,0,0,0,0,1,1,0,37,47,78.7,526,197,21,22,95.5,14,16,87.5,1,4,25,0,0,0,0,4,1,0,3,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga
10/29/17,La Liga,Girona,Lucas Vázquez,17,es ESP,LB,26-120,25,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,1,0,14,19,73.7,0,13,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,14,19,73.7,208,14,8,9,88.9,5,9,55.6,1,1,100,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga
10/29/17,La Liga,Girona,Sergio Ramos,4,es ESP,CB,31-213,90,0,0,0,0,0,0,0,0,2,78,2,1,0,0,0.1,2,0,63,72,87.5,4,39,1,1,1,2,2,2,0,0,1,1,100,0,1,1,0,2,4,2,0,63,72,87.5,1006,456,33,34,97.1,27,30,90,3,7,42.9,0,0.1,0.1,1,2,0,0,4,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga
10/29/17,La Liga,Girona,Raphaël Varane,5,fr FRA,CB,24-187,45,0,0,0,0,0,0,0,0,0,31,3,2,0,0,0,0,0,20,23,87,0,12,0,0,0,3,3,3,0,0,0,0,,0,2,0,2,0,3,4,0,20,23,87,403,169,8,8,100,9,11,81.8,3,3,100,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga
10/29/17,La Liga,Girona,Nacho,6,es ESP,CB,27-284,45,0,0,0,0,0,0,0,0,2,25,2,0,0,0,0,0,0,17,18,94.4,2,14,0,0,0,2,2,1,1,0,0,2,0,2,0,0,0,2,4,1,0,17,18,94.4,259,78,8,8,100,8,8,100,0,0,,0,0,0,0,2,0,0,2,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga
10/29/17,La Liga,Girona,Achraf Hakimi,19,ma MAR,RB,18-359,65,0,0,0,0,0,0,0,0,0,33,0,1,0,0,0,1,0,21,28,75,1,18,2,1,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,1,21,28,75,326,109,10,13,76.9,9,11,81.8,1,3,33.3,0,0,0,1,1,1,0,1,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga
10/29/17,La Liga,Girona,Marco Asensio,20,es ESP,RB,21-281,25,0,0,0,0,1,1,0,0,0,18,0,0,0.1,0.1,0,1,0,10,16,62.5,2,13,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,16,62.5,146,63,6,8,75,4,5,80,0,1,0,0,0,0,0,0,1,0,2,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga
10/29/17,La Liga,Girona,Kiko Casilla,13,es ESP,GK,31-027,90,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,16,27,59.3,0,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,16,27,59.3,390,352,3,3,100,9,9,100,4,15,26.7,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/491f1e5f/Girona-Real-Madrid-October-29-2017-La-Liga
11/1/17,Champions League,Tottenham Hotspur,Cristiano Ronaldo,7,pt POR,FW,32-269,90,1,0,0,0,7,5,0,0,0,45,0,0,1,1,0,3,0,33,36,91.7,5,33,4,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,33,36,91.7,455,61,20,21,95.2,11,12,91.7,1,1,100,0,0,0,0,1,2,0,5,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/1/17,Champions League,Tottenham Hotspur,Karim Benzema,9,fr FRA,FW,29-317,72,0,0,0,0,2,1,0,0,0,35,0,0,0.1,0.1,0.2,4,0,23,30,76.7,3,27,4,4,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23,30,76.7,322,42,15,16,93.8,8,10,80,0,2,0,0,0.2,0.4,1,3,0,0,3,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/1/17,Champions League,Tottenham Hotspur,Marco Asensio,20,es ESP,"RM,FW,CM",21-284,18,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,16,18,88.9,2,17,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16,18,88.9,293,59,7,9,77.8,6,6,100,3,3,100,0,0,0,0,2,0,0,2,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/1/17,Champions League,Tottenham Hotspur,Isco,22,es ESP,AM,25-194,72,0,0,0,0,2,1,0,0,0,81,1,2,0.1,0.1,0.2,4,0,60,74,81.1,6,60,5,1,1,1,1,1,0,0,0,1,0,1,2,0,2,0,1,0,0,60,74,81.1,946,229,37,38,97.4,17,22,77.3,6,12,50,0,0.2,0.1,3,5,1,0,6,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/1/17,Champions League,Tottenham Hotspur,Borja Mayoral,21,es ESP,"FW,AM",20-210,18,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0.6,2,1,7,8,87.5,2,8,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,8,87.5,120,17,1,1,100,5,5,100,0,0,,1,0.6,0.7,2,0,0,0,2,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/1/17,Champions League,Tottenham Hotspur,Toni Kroos,8,de GER,"LM,CM",27-301,90,0,0,0,0,1,0,0,0,0,101,0,1,0,0,0,4,0,82,97,84.5,14,68,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,82,97,84.5,1644,550,40,43,93,27,30,90,15,22,68.2,0,0,0.1,0,11,1,0,14,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/1/17,Champions League,Tottenham Hotspur,Luka Modrić,10,hr CRO,RM,32-053,80,0,0,0,0,0,0,0,0,0,77,1,0,0,0,0,1,0,67,74,90.5,12,59,3,1,1,1,1,0,0,1,1,1,100,0,0,0,0,0,1,0,0,67,74,90.5,1419,374,27,27,100,26,30,86.7,13,14,92.9,0,0,0.1,1,12,1,0,12,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/1/17,Champions League,Tottenham Hotspur,Theo Hernández,15,fr FRA,"LM,CM",20-026,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,10,12,83.3,1,11,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,10,12,83.3,136,20,7,8,87.5,3,3,100,0,1,0,0,0,0,0,1,0,0,1,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/1/17,Champions League,Tottenham Hotspur,Casemiro,14,br BRA,"DM,CM,CB",25-251,90,0,0,0,0,2,2,0,0,2,71,5,3,0.1,0.1,0,0,0,53,58,91.4,4,38,0,0,0,5,4,2,3,0,4,8,50,4,3,1,2,2,7,3,0,53,58,91.4,1049,340,20,21,95.2,26,26,100,6,10,60,0,0,0,0,3,0,0,4,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/1/17,Champions League,Tottenham Hotspur,Marcelo,12,br BRA,"LB,WB",29-173,90,0,0,0,0,2,0,0,0,2,111,0,1,0.1,0.1,0.1,8,1,77,102,75.5,17,75,7,3,3,0,0,0,0,0,0,1,0,1,1,0,1,2,2,1,0,77,102,75.5,1304,366,45,52,86.5,22,25,88,8,15,53.3,0,0.1,0.4,3,8,2,0,17,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/1/17,Champions League,Tottenham Hotspur,Sergio Ramos,4,es ESP,CB,31-216,90,0,0,0,0,3,0,1,0,1,81,2,1,0.8,0.8,0,1,0,68,73,93.2,6,48,0,3,2,2,2,1,1,0,1,4,25,3,1,1,0,1,3,2,0,68,73,93.2,1155,597,33,35,94.3,29,29,100,6,8,75,0,0,0,0,7,0,0,6,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/1/17,Champions League,Tottenham Hotspur,Nacho,6,es ESP,CB,27-287,90,0,0,0,0,1,0,0,0,4,59,3,0,0.1,0.1,0,1,0,45,48,93.8,2,30,0,0,0,3,2,1,2,0,0,1,0,1,0,0,0,4,7,2,0,45,48,93.8,845,307,11,11,100,29,31,93.5,5,6,83.3,0,0,0,0,1,0,0,2,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/1/17,Champions League,Tottenham Hotspur,Achraf Hakimi,19,ma MAR,"RB,WB",18-362,90,0,0,0,0,0,0,0,0,1,76,1,2,0,0,0.2,4,0,52,63,82.5,5,49,4,4,0,1,1,0,1,0,0,1,0,1,2,0,2,1,2,2,0,52,63,82.5,828,285,25,27,92.6,23,27,85.2,3,7,42.9,0,0.2,0.2,4,2,2,1,5,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/1/17,Champions League,Tottenham Hotspur,Kiko Casilla,13,es ESP,GK,31-030,90,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,18,25,72,0,19,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,25,72,530,347,1,1,100,11,11,100,6,13,46.2,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/21830d60/Tottenham-Hotspur-Real-Madrid-November-1-2017-Champions-League
11/5/17,La Liga,Las Palmas,Karim Benzema,9,fr FRA,FW,29-321,74,0,0,0,0,2,1,0,0,0,23,0,1,0.6,0.6,0,0,0,12,18,66.7,2,16,2,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,12,18,66.7,148,36,7,10,70,2,4,50,1,1,100,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/5/17,La Liga,Las Palmas,Lucas Vázquez,17,es ESP,FW,26-127,16,0,0,0,0,1,1,0,0,0,19,0,1,0,0,0,2,0,12,14,85.7,3,11,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,12,14,85.7,124,36,10,10,100,1,2,50,0,0,,0,0,0,0,0,1,0,3,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/5/17,La Liga,Las Palmas,Cristiano Ronaldo,7,pt POR,FW,32-273,90,0,1,0,0,8,1,0,0,0,53,0,0,0.4,0.4,0.8,4,1,33,42,78.6,5,25,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,33,42,78.6,439,67,20,23,87,8,13,61.5,2,2,100,1,0.8,0.4,3,2,1,0,5,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/5/17,La Liga,Las Palmas,Marco Asensio,20,es ESP,AM,21-288,90,1,0,0,0,3,2,0,0,1,86,3,1,0.1,0.1,0.3,5,1,67,75,89.3,10,63,8,3,3,3,2,1,0,2,2,3,66.7,1,1,0,1,1,4,1,0,67,75,89.3,1094,202,37,37,100,19,22,86.4,8,9,88.9,0,0.3,0.2,2,10,1,1,10,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/5/17,La Liga,Las Palmas,Isco,22,es ESP,LM,25-198,90,1,0,0,0,4,1,1,0,2,100,1,0,0.5,0.5,0.2,9,1,75,87,86.2,13,76,10,6,4,1,1,1,0,0,0,2,0,2,0,0,0,2,3,0,0,75,87,86.2,978,273,55,56,98.2,13,19,68.4,5,7,71.4,0,0.2,0.2,3,5,6,2,13,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/5/17,La Liga,Las Palmas,Casemiro,14,br BRA,CM,25-255,67,1,0,0,0,2,1,0,0,1,44,6,0,0.2,0.2,0,4,1,28,35,80,3,27,0,1,1,6,4,1,5,0,0,1,0,1,0,0,0,1,7,1,0,28,35,80,605,125,6,7,85.7,17,17,100,3,5,60,0,0,0,1,1,0,0,3,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/5/17,La Liga,Las Palmas,Marcos Llorente,18,es ESP,CM,22-279,23,0,0,0,0,1,0,0,0,0,25,1,1,0,0,0.1,3,0,22,22,100,3,18,0,1,1,1,0,0,1,0,1,1,100,0,1,0,1,0,1,0,0,22,22,100,456,119,5,5,100,11,11,100,4,4,100,0,0.1,0,1,2,0,0,3,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/5/17,La Liga,Las Palmas,Toni Kroos,8,de GER,RM,27-305,77,0,0,0,0,2,1,1,0,2,86,1,1,0.1,0.1,0,5,0,71,81,87.7,9,56,3,2,2,1,1,0,1,0,1,3,33.3,2,1,0,1,2,3,0,0,71,81,87.7,1295,407,29,30,96.7,33,36,91.7,8,12,66.7,0,0,0.1,1,13,0,0,9,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/5/17,La Liga,Las Palmas,Dani Ceballos,24,es ESP,RM,21-090,13,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0.1,1,0,12,13,92.3,0,11,1,1,0,1,1,1,0,0,1,2,50,1,0,0,0,0,1,0,0,12,13,92.3,218,67,7,7,100,3,3,100,2,3,66.7,0,0.1,0.1,1,2,0,0,0,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/5/17,La Liga,Las Palmas,Marcelo,12,br BRA,LB,29-177,90,0,0,0,0,2,0,0,0,1,94,3,0,0.1,0.1,0.1,7,0,74,83,89.2,8,48,3,0,0,3,2,1,1,1,1,1,100,0,0,0,0,1,4,3,0,74,83,89.2,966,297,44,47,93.6,20,24,83.3,3,4,75,0,0.1,0.2,1,3,3,3,8,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/5/17,La Liga,Las Palmas,Sergio Ramos,4,es ESP,CB,31-220,90,0,0,0,0,1,1,0,0,5,90,3,0,0.1,0.1,0.2,8,1,80,84,95.2,13,50,1,1,1,3,2,2,1,0,1,4,25,3,0,0,0,5,8,0,0,80,84,95.2,1536,707,38,39,97.4,30,30,100,12,12,100,0,0.2,0.1,5,20,1,0,13,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/5/17,La Liga,Las Palmas,Jesús Vallejo,3,es ESP,CB,20-304,90,0,0,0,0,0,0,0,0,3,63,1,0,0,0,0,1,0,46,56,82.1,3,28,1,1,1,1,1,1,0,0,0,0,,0,0,0,0,3,4,5,0,46,56,82.1,856,356,16,17,94.1,26,31,83.9,4,8,50,0,0,0,0,3,0,0,3,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/5/17,La Liga,Las Palmas,Nacho,6,es ESP,RB,27-291,90,0,0,0,0,1,0,0,0,1,85,2,4,0,0,0.1,4,1,61,73,83.6,5,41,0,2,0,2,1,0,0,2,0,2,0,2,4,1,3,1,3,1,0,61,73,83.6,812,212,39,40,97.5,15,20,75,3,6,50,0,0.1,0.1,3,9,1,1,5,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/5/17,La Liga,Las Palmas,Kiko Casilla,13,es ESP,GK,31-034,90,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,16,19,84.2,0,12,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,16,19,84.2,393,225,3,3,100,7,7,100,6,9,66.7,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c2d0af17/Real-Madrid-Las-Palmas-November-5-2017-La-Liga
11/18/17,La Liga,Atletico Madrid,Karim Benzema,9,fr FRA,FW,29-334,75,0,0,0,0,0,0,0,0,0,41,1,1,0,0,0,1,0,27,36,75,4,30,1,2,2,1,1,1,0,0,0,1,0,1,1,0,1,0,1,2,0,27,36,75,374,93,18,21,85.7,6,9,66.7,2,3,66.7,0,0,0,0,7,2,0,4,https://fbref.com/en/matches/f2bd4b0b/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-18-2017-La-Liga
11/18/17,La Liga,Atletico Madrid,Marco Asensio,20,es ESP,FW,21-301,15,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0.2,3,0,11,12,91.7,2,8,1,0,0,1,1,0,1,0,1,1,100,0,0,0,0,0,1,0,0,11,12,91.7,172,46,8,8,100,2,2,100,1,1,100,0,0.2,0,2,1,1,0,2,https://fbref.com/en/matches/f2bd4b0b/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-18-2017-La-Liga
11/18/17,La Liga,Atletico Madrid,Cristiano Ronaldo,7,pt POR,FW,32-286,90,0,0,0,0,7,2,0,0,0,42,0,1,0.6,0.6,0.3,4,0,23,29,79.3,5,29,3,1,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,23,29,79.3,287,64,14,16,87.5,5,6,83.3,1,2,50,0,0.3,0.2,2,1,3,0,5,https://fbref.com/en/matches/f2bd4b0b/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-18-2017-La-Liga
11/18/17,La Liga,Atletico Madrid,Isco,22,es ESP,AM,25-211,90,0,0,0,0,0,0,0,0,0,101,6,0,0,0,0,3,0,71,86,82.6,14,89,10,7,6,6,4,2,2,2,2,3,66.7,1,0,0,0,0,6,0,0,71,86,82.6,1145,329,36,39,92.3,24,29,82.8,6,9,66.7,0,0,0.1,1,7,3,0,14,https://fbref.com/en/matches/f2bd4b0b/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-18-2017-La-Liga
11/18/17,La Liga,Atletico Madrid,Toni Kroos,8,de GER,LM,27-318,90,0,0,0,0,2,1,0,0,1,109,2,1,0.3,0.3,0,6,0,83,94,88.3,9,58,5,5,5,2,1,2,0,0,1,2,50,1,1,1,0,1,3,1,0,83,94,88.3,1122,307,49,50,98,23,28,82.1,4,6,66.7,0,0,0.1,1,5,2,0,9,https://fbref.com/en/matches/f2bd4b0b/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-18-2017-La-Liga
11/18/17,La Liga,Atletico Madrid,Casemiro,14,br BRA,CM,25-268,90,0,0,0,0,0,0,0,0,3,89,3,2,0,0,0.5,1,0,66,73,90.4,5,45,0,0,0,3,3,2,0,1,3,4,75,1,2,0,2,3,6,4,0,66,73,90.4,1141,409,35,35,100,23,28,82.1,7,9,77.8,0,0.5,0.2,1,7,1,0,5,https://fbref.com/en/matches/f2bd4b0b/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-18-2017-La-Liga
11/18/17,La Liga,Atletico Madrid,Luka Modrić,10,hr CRO,RM,32-070,90,0,0,0,0,3,0,0,0,3,90,4,1,0.1,0.1,0.1,1,0,68,77,88.3,10,69,1,3,2,4,4,2,1,1,2,5,40,3,1,0,1,3,7,0,0,68,77,88.3,1233,285,34,36,94.4,23,29,79.3,8,9,88.9,0,0.1,0.1,1,9,1,0,10,https://fbref.com/en/matches/f2bd4b0b/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-18-2017-La-Liga
11/18/17,La Liga,Atletico Madrid,Marcelo,12,br BRA,LB,29-190,90,0,0,0,0,1,0,0,0,2,101,2,0,0,0,0.2,3,0,74,93,79.6,12,77,1,6,3,2,2,1,0,1,1,2,50,1,0,0,0,2,4,2,0,74,93,79.6,1085,396,46,51,90.2,20,28,71.4,7,12,58.3,0,0.2,0.1,1,9,2,0,12,https://fbref.com/en/matches/f2bd4b0b/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-18-2017-La-Liga
11/18/17,La Liga,Atletico Madrid,Sergio Ramos,4,es ESP,CB,31-233,45,0,0,0,0,1,0,0,0,0,52,2,1,0.5,0.5,0,0,0,42,46,91.3,2,35,0,0,0,2,1,0,2,0,1,2,50,1,1,1,0,0,2,2,0,42,46,91.3,780,369,21,22,95.5,16,16,100,5,8,62.5,0,0,0,0,4,0,0,2,https://fbref.com/en/matches/f2bd4b0b/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-18-2017-La-Liga
11/18/17,La Liga,Atletico Madrid,Nacho,6,es ESP,CB,27-304,45,0,0,0,0,0,0,1,0,0,32,1,0,0,0,0,0,0,21,24,87.5,1,18,0,0,0,1,0,0,1,0,1,2,50,1,0,0,0,0,1,7,0,21,24,87.5,388,114,8,8,100,8,9,88.9,4,6,66.7,0,0,0,0,1,0,0,1,https://fbref.com/en/matches/f2bd4b0b/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-18-2017-La-Liga
11/18/17,La Liga,Atletico Madrid,Raphaël Varane,5,fr FRA,CB,24-207,90,0,0,0,0,0,0,0,0,0,51,0,2,0,0,0,0,0,42,44,95.5,2,34,1,1,1,0,0,0,0,0,0,0,,0,2,1,1,0,0,5,1,42,44,95.5,825,249,17,18,94.4,14,15,93.3,8,8,100,0,0,0,0,4,0,0,2,https://fbref.com/en/matches/f2bd4b0b/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-18-2017-La-Liga
11/18/17,La Liga,Atletico Madrid,Dani Carvajal,2,es ESP,RB,25-311,90,0,0,0,0,0,0,1,0,1,94,3,2,0,0,0.1,2,0,69,84,82.1,5,52,4,2,0,3,2,1,1,1,2,3,66.7,1,2,0,2,1,4,0,0,69,84,82.1,1022,187,41,43,95.3,21,27,77.8,4,8,50,0,0.1,0.1,1,2,1,0,5,https://fbref.com/en/matches/f2bd4b0b/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-18-2017-La-Liga
11/18/17,La Liga,Atletico Madrid,Kiko Casilla,13,es ESP,GK,31-047,90,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,26,29,89.7,0,21,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26,29,89.7,772,554,4,4,100,11,11,100,10,13,76.9,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/f2bd4b0b/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-18-2017-La-Liga
11/21/17,Champions League,Apoel Fc,Cristiano Ronaldo,7,pt POR,FW,32-289,90,2,1,0,0,8,3,0,0,0,37,0,2,0.9,0.9,0.5,8,3,18,24,75,1,33,5,1,1,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,18,24,75,198,28,12,15,80,3,5,60,1,1,100,1,0.5,0.1,1,1,0,0,1,https://fbref.com/en/matches/6da6de2c/APOEL-FC-Real-Madrid-November-21-2017-Champions-League
11/21/17,Champions League,Apoel Fc,Karim Benzema,9,fr FRA,FW,29-337,63,2,0,0,0,2,2,0,0,0,31,0,1,0.9,0.9,0.3,3,0,23,25,92,3,26,3,3,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,23,25,92,335,100,15,15,100,7,8,87.5,1,1,100,0,0.3,0.1,3,3,2,1,3,https://fbref.com/en/matches/6da6de2c/APOEL-FC-Real-Madrid-November-21-2017-Champions-League
11/21/17,Champions League,Apoel Fc,Borja Mayoral,21,es ESP,FW,20-230,27,0,0,0,0,1,0,0,0,0,16,0,0,0.9,0.9,0,1,0,12,13,92.3,1,12,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,12,13,92.3,155,22,8,8,100,4,4,100,0,1,0,0,0,0,1,2,0,0,1,https://fbref.com/en/matches/6da6de2c/APOEL-FC-Real-Madrid-November-21-2017-Champions-League
11/21/17,Champions League,Apoel Fc,Marco Asensio,20,es ESP,LM,21-304,90,0,0,0,0,1,1,0,0,0,96,1,1,0.1,0.1,0.2,6,1,76,90,84.4,10,74,9,6,4,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,76,90,84.4,1173,258,39,43,90.7,28,34,82.4,6,6,100,0,0.2,0.2,2,4,2,1,10,https://fbref.com/en/matches/6da6de2c/APOEL-FC-Real-Madrid-November-21-2017-Champions-League
