Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Touches, Tkl, Int, Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match URL
8/17/19,La Liga,Celta Vigo,Karim Benzema,9,fr FRA,FW,31-241,80,1,1,0,0,4,2,0,0,37,1,0,1,1,1,0.4,4,2,20,21,95.2,1,19,2,2,2,1,0,1,0,0,0,0,,0,1,0,1,0,1,2,0,20,21,95.2,231,81,10,10,100,3,4,75,2,2,100,1,0.4,0.1,2,2,0,0,1,https://fbref.com/en/matches/b4affa1c/Celta-Vigo-Real-Madrid-August-17-2019-La-Liga
8/17/19,La Liga,Celta Vigo,Luka Jović,18,rs SRB,FW,21-237,10,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0,0,0,3,5,60,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,5,60,31,0,1,3,33.3,1,1,100,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/b4affa1c/Celta-Vigo-Real-Madrid-August-17-2019-La-Liga
8/17/19,La Liga,Celta Vigo,Vinicius Júnior,28,br BRA,"LW,LM",19-036,68,0,0,0,0,0,0,1,0,22,0,0,1,0,0,0,3,1,16,18,88.9,1,13,3,2,1,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,0,16,18,88.9,167,45,10,10,100,3,4,75,0,1,0,0,0,0,1,0,1,0,1,https://fbref.com/en/matches/b4affa1c/Celta-Vigo-Real-Madrid-August-17-2019-La-Liga
8/17/19,La Liga,Celta Vigo,Lucas Vázquez,17,es ESP,RM,28-047,22,1,0,0,0,2,1,0,0,21,1,0,1,0.4,0.4,0,1,0,10,15,66.7,1,12,0,0,0,1,1,0,1,0,1,2,50,1,1,0,1,0,1,0,0,10,15,66.7,132,37,5,6,83.3,1,1,100,1,2,50,0,0,0,0,1,1,0,1,https://fbref.com/en/matches/b4affa1c/Celta-Vigo-Real-Madrid-August-17-2019-La-Liga
8/17/19,La Liga,Celta Vigo,Gareth Bale,11,wls WAL,"RW,RM,LM",30-032,74,0,1,0,0,2,2,0,0,38,3,0,1,0.1,0.1,0.8,2,1,19,25,76,2,20,5,1,0,3,1,1,0,2,1,3,33.3,2,1,0,1,0,3,2,0,19,25,76,333,82,8,8,100,8,9,88.9,2,6,33.3,1,0.8,0.6,1,3,0,0,2,https://fbref.com/en/matches/b4affa1c/Celta-Vigo-Real-Madrid-August-17-2019-La-Liga
8/17/19,La Liga,Celta Vigo,Isco,22,es ESP,LM,27-118,16,0,0,0,0,2,1,0,0,22,0,0,0,0.1,0.1,0,3,0,17,18,94.4,2,15,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17,18,94.4,182,33,10,10,100,1,1,100,1,1,100,0,0,0,1,2,0,0,2,https://fbref.com/en/matches/b4affa1c/Celta-Vigo-Real-Madrid-August-17-2019-La-Liga
8/17/19,La Liga,Celta Vigo,Toni Kroos,8,de GER,"LM,CM",29-225,90,1,0,0,0,1,1,0,0,73,2,0,1,0,0,0.1,5,0,59,69,85.5,3,38,0,2,2,2,2,0,1,1,2,5,40,3,1,0,1,0,2,0,0,59,69,85.5,899,209,31,34,91.2,17,21,81,5,8,62.5,0,0.1,0.1,3,1,0,0,3,https://fbref.com/en/matches/b4affa1c/Celta-Vigo-Real-Madrid-August-17-2019-La-Liga
8/17/19,La Liga,Celta Vigo,Casemiro,14,br BRA,CM,27-175,90,0,0,0,0,1,1,0,0,60,1,2,1,0,0,0.1,2,0,46,51,90.2,3,31,0,1,1,1,1,0,1,0,0,3,0,3,1,1,0,2,3,4,0,46,51,90.2,891,252,16,16,100,9,11,81.8,12,15,80,0,0.1,0.1,1,6,0,0,3,https://fbref.com/en/matches/b4affa1c/Celta-Vigo-Real-Madrid-August-17-2019-La-Liga
8/17/19,La Liga,Celta Vigo,Luka Modrić,10,hr CRO,RM,33-342,55,0,0,0,0,1,1,0,1,38,0,0,0,0,0,0.1,3,0,30,36,83.3,1,32,3,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,30,36,83.3,525,147,11,13,84.6,8,8,100,6,8,75,0,0.1,0,1,1,0,0,1,https://fbref.com/en/matches/b4affa1c/Celta-Vigo-Real-Madrid-August-17-2019-La-Liga
8/17/19,La Liga,Celta Vigo,Marcelo,12,br BRA,LB,31-097,90,0,1,0,0,1,1,0,0,70,1,2,0,0,0,0.5,8,2,49,61,80.3,5,35,4,2,2,1,1,1,0,0,0,1,0,1,0,0,0,2,3,2,0,49,61,80.3,711,319,33,35,94.3,3,5,60,7,14,50,1,0.5,0.6,4,4,0,0,5,https://fbref.com/en/matches/b4affa1c/Celta-Vigo-Real-Madrid-August-17-2019-La-Liga
